walker	A	B	C	D	E	log_l	log_p
9	2.042322706e+00	1.449733133e+00	-2.079491435e-01	9.825154274e-02	-6.604948189e-01	1.623632664e+01	4.082199452e-02
10	2.010014130e+00	1.568387083e+00	-2.532013241e-01	8.767085503e-02	-7.728267592e-01	1.468909117e+01	4.082199452e-02
11	2.057051293e+00	1.575747236e+00	-2.522827239e-01	9.016454584e-02	-8.401473001e-01	1.500400109e+01	4.082199452e-02
12	2.156013356e+00	1.601405214e+00	-2.898020419e-01	8.524635584e-02	-9.031104193e-01	1.551354870e+01	4.082199452e-02
13	2.122453003e+00	1.502829107e+00	-1.633117622e-01	8.911229546e-02	-8.960151093e-01	1.436627431e+01	4.082199452e-02
14	2.127754652e+00	1.607977567e+00	-3.147164721e-01	8.405276089e-02	-8.960673960e-01	1.544382931e+01	4.082199452e-02
15	2.027032221e+00	1.674572386e+00	-3.094052089e-01	7.866794326e-02	-9.570230903e-01	1.485900258e+01	4.082199452e-02
16	1.995719135e+00	1.581624150e+00	-2.678252387e-01	9.353966008e-02	-8.118904543e-01	1.479500303e+01	4.082199452e-02
17	1.683601477e+00	1.470622789e+00	-1.295773367e-01	1.052418216e-01	-8.617095530e-01	1.298526171e+01	4.082199452e-02
18	2.090104958e+00	1.626114614e+00	-2.886197039e-01	9.134019834e-02	-9.209071599e-01	1.514998300e+01	4.082199452e-02
19	1.889180799e+00	1.490601187e+00	-6.244269679e-02	1.049043865e-01	-6.920698638e-01	1.383566222e+01	4.082199452e-02
20	2.069861343e+00	1.578680073e+00	-2.747314434e-01	9.449914666e-02	-8.417156056e-01	1.525308583e+01	4.082199452e-02
21	1.936163211e+00	1.513392288e+00	-6.832598623e-02	1.021796596e-01	-7.741773052e-01	1.321958354e+01	4.082199452e-02
22	2.023258520e+00	1.537939159e+00	-1.750642331e-01	9.750672961e-02	-8.149010992e-01	1.473698526e+01	4.082199452e-02
23	1.990120450e+00	1.514867730e+00	-8.693051591e-02	1.012298686e-01	-8.300445152e-01	1.335014464e+01	4.082199452e-02
24	1.776757333e+00	1.553899664e+00	-3.547510263e-01	1.061787944e-01	-6.489080339e-01	1.377243380e+01	4.082199452e-02
25	1.787658509e+00	1.326392119e+00	-1.817102879e-01	1.152640419e-01	-5.232909691e-01	1.966143382e+01	4.082199452e-02
26	2.084671904e+00	1.738590229e+00	-4.651592154e-01	8.647532979e-02	-9.128830428e-01	1.398559445e+01	4.082199452e-02
27	2.302236618e+00	1.745547523e+00	-5.842617557e-01	7.906920888e-02	-1.076934444e+00	1.213020889e+01	4.082199452e-02
28	2.096431605e+00	1.718379596e+00	-4.453101718e-01	8.624111603e-02	-9.075490344e-01	1.449538942e+01	4.082199452e-02
29	2.086934719e+00	1.787336182e+00	-5.280401000e-01	8.845594307e-02	-1.004310867e+00	1.141358977e+01	4.082199452e-02
30	2.012282102e+00	1.683063440e+00	-3.617461210e-01	9.096633551e-02	-8.395829871e-01	1.484228754e+01	4.082199452e-02
31	2.082883381e+00	1.738553989e+00	-4.657222369e-01	8.607087931e-02	-9.070191070e-01	1.399631111e+01	4.082199452e-02
32	2.088830219e+00	1.775282965e+00	-4.682045220e-01	8.199566500e-02	-9.766549312e-01	1.277847669e+01	4.082199452e-02
33	2.081686736e+00	1.741424568e+00	-4.642450451e-01	8.616587680e-02	-9.096128434e-01	1.396052803e+01	4.082199452e-02
34	2.146836198e+00	1.710660252e+00	-4.571486610e-01	8.538526847e-02	-9.492854958e-01	1.464531376e+01	4.082199452e-02
